address,name,size,calls,called_by,decompiled
1000:0010,FUN_1000_0010,1,0,1,1
1000:0011,FUN_1000_0011,674,31,1,1
1000:02e2,FUN_1000_02e2,374,7,1,1
1000:045a,FUN_1000_045a,96,2,1,1
1000:04ba,FUN_1000_04ba,571,6,1,1
1000:06f6,FUN_1000_06f6,2586,23,1,1
1000:1122,FUN_1000_1122,354,2,1,1
1000:1288,FUN_1000_1288,339,1,1,1
1000:13e0,FUN_1000_13e0,2953,22,1,1
1000:1faa,FUN_1000_1faa,49,4,2,1
1000:1fdc,FUN_1000_1fdc,6180,38,1,1
1000:383a,FUN_1000_383a,8067,40,1,1
1000:5818,FUN_1000_5818,10278,38,1,1
1000:8098,FUN_1000_8098,88,0,4,1
1000:80f0,FUN_1000_80f0,145,0,3,1
1000:8184,FUN_1000_8184,198,4,5,1
1000:824a,FUN_1000_824a,71,2,3,1
1000:8292,FUN_1000_8292,53,1,8,1
1000:82c8,FUN_1000_82c8,15,1,7,1
1000:82d7,FUN_1000_82d7,112,2,7,1
1000:8347,FUN_1000_8347,110,2,1,1
1000:83b5,FUN_1000_83b5,112,2,4,1
1000:8425,FUN_1000_8425,110,2,5,1
1000:8493,FUN_1000_8493,27,1,7,1
1000:84ae,FUN_1000_84ae,40,3,6,1
1000:84d6,FUN_1000_84d6,64,2,1,1
1000:8518,FUN_1000_8518,74,2,1,1
1000:8562,FUN_1000_8562,86,2,4,1
1000:85b8,FUN_1000_85b8,106,2,4,1
1000:8622,FUN_1000_8622,82,2,1,1
1000:8674,FUN_1000_8674,557,2,1,1
1000:88a2,FUN_1000_88a2,51,1,7,1
1000:88d6,FUN_1000_88d6,51,1,4,1
1000:890a,FUN_1000_890a,86,1,5,1
1000:8960,FUN_1000_8960,178,0,1,1
1000:8a12,FUN_1000_8a12,134,16,1,1
1000:8a98,FUN_1000_8a98,73,14,1,1
1000:8ae2,FUN_1000_8ae2,1436,24,1,1
1000:908c,FUN_1000_908c,369,14,1,1
1000:91fe,FUN_1000_91fe,869,13,1,1
1000:9568,FUN_1000_9568,60,7,1,1
1000:95a4,FUN_1000_95a4,1976,23,1,1
1000:9d84,FUN_1000_9d84,236,1,3,1
1000:9e70,FUN_1000_9e70,330,10,4,1
1000:9fbc,FUN_1000_9fbc,52,2,8,1
1000:9ff0,FUN_1000_9ff0,128,3,4,1
1000:a072,FUN_1000_a072,29,1,4,1
1000:a090,FUN_1000_a090,23,1,2,1
1000:a0a8,FUN_1000_a0a8,23,1,1,1
1000:a0c0,FUN_1000_a0c0,23,1,1,1
1000:a0d8,FUN_1000_a0d8,168,3,3,1
1000:a196,FUN_1000_a196,148,2,4,1
1000:a22a,FUN_1000_a22a,18,1,1,1
1000:a23c,FUN_1000_a23c,29,1,11,1
1000:a25a,FUN_1000_a25a,44,2,6,1
1000:a286,FUN_1000_a286,24,1,2,1
1000:a29e,FUN_1000_a29e,44,6,4,1
1000:a2ca,FUN_1000_a2ca,56,5,4,1
1000:a302,FUN_1000_a302,246,1,1,1
1000:a3f8,FUN_1000_a3f8,48,1,3,1
1000:a428,FUN_1000_a428,67,1,1,1
1000:a46c,FUN_1000_a46c,938,10,1,1
1000:a816,FUN_1000_a816,47,6,3,1
1000:a846,FUN_1000_a846,509,3,2,1
1000:aa44,FUN_1000_aa44,78,9,1,1
1000:aa92,FUN_1000_aa92,227,11,1,1
1000:ab76,FUN_1000_ab76,983,9,1,1
1000:af50,FUN_1000_af50,99,0,4,1
1000:afb4,FUN_1000_afb4,18,0,1,1
1000:afc6,FUN_1000_afc6,12,0,1,1
1000:afd2,FUN_1000_afd2,47,0,1,1
1000:b004,FUN_1000_b004,32,0,1,1
1000:b030,FUN_1000_b030,446,5,1,1
1000:b216,FUN_1000_b216,23,0,1,1
1000:b22e,FUN_1000_b22e,29,0,1,1
1000:b24c,FUN_1000_b24c,122,0,1,1
1000:b2c8,FUN_1000_b2c8,170,1,1,1
1000:b472,FUN_1000_b472,28,0,2,1
1000:b490,FUN_1000_b490,94,0,2,1
1000:b4ee,FUN_1000_b4ee,32,0,11,1
1000:b50e,FUN_1000_b50e,89,0,4,1
1000:b5b0,FUN_1000_b5b0,428,0,1,1
1000:b766,FUN_1000_b766,236,0,5,1
1000:b854,FUN_1000_b854,223,0,7,1
1000:b940,FUN_1000_b940,91,0,1,1
1000:b99c,FUN_1000_b99c,90,0,1,1
1000:b9f6,FUN_1000_b9f6,19,0,1,1
1000:ba0a,FUN_1000_ba0a,9,0,1,1
1000:ba14,FUN_1000_ba14,31,3,1,1
1000:ba34,FUN_1000_ba34,53,3,1,1
1000:ba6a,FUN_1000_ba6a,33,0,3,1
1000:ba8c,FUN_1000_ba8c,27,0,14,1
1000:baac,FUN_1000_baac,84,0,1,1
1000:bafc,FUN_1000_bafc,60,0,1,1
1000:bb38,FUN_1000_bb38,4,0,8,1
1000:bb72,FUN_1000_bb72,93,1,1,1
1000:bbd0,FUN_1000_bbd0,33,0,1,1
1000:bbf2,FUN_1000_bbf2,77,1,1,1
1000:bc40,FUN_1000_bc40,24,0,1,1
1000:bc6f,FUN_1000_bc6f,208,2,1,1
1000:bd2a,FUN_1000_bd2a,51,0,1,1
1000:bd5d,FUN_1000_bd5d,64,1,1,1
1000:bd9d,FUN_1000_bd9d,34,0,1,1
1000:bdbf,FUN_1000_bdbf,79,1,1,1
1000:be0e,FUN_1000_be0e,40,0,1,1
1000:be36,FUN_1000_be36,99,0,1,1
1000:be99,FUN_1000_be99,81,0,1,1
1000:beea,FUN_1000_beea,91,0,19,1
1000:bf46,FUN_1000_bf46,70,0,4,1
1000:bf8e,FUN_1000_bf8e,9,0,11,1
1000:bf98,FUN_1000_bf98,9,0,11,1
1000:bfa2,FUN_1000_bfa2,38,0,5,1
1000:bfd6,FUN_1000_bfd6,435,1,12,1
1000:c18c,thunk_FUN_1000_1122,5,1,1,1
1000:c25e,FUN_1000_c25e,180,1,4,1
1000:c312,FUN_1000_c312,15,0,1,1
1000:c322,FUN_1000_c322,596,1,7,1
1000:c57a,FUN_1000_c57a,10,0,1,1
1000:c650,FUN_1000_c650,250,1,1,1
1000:c74c,FUN_1000_c74c,21,0,1,1
1000:c762,FUN_1000_c762,37,0,7,1
1000:c788,FUN_1000_c788,343,1,1,1
1000:c8e0,FUN_1000_c8e0,774,10,1,1
1000:cbe6,FUN_1000_cbe6,321,2,1,1
1000:cd2a,FUN_1000_cd2a,20,0,1,1
1000:cd3e,FUN_1000_cd3e,96,4,1,1
1000:cd9e,FUN_1000_cd9e,358,4,1,1
1000:cf08,FUN_1000_cf08,35,0,5,1
1000:cf2c,FUN_1000_cf2c,23,1,9,1
1000:cf44,FUN_1000_cf44,37,1,14,1
1000:cf6a,FUN_1000_cf6a,115,3,14,1
1000:cfde,FUN_1000_cfde,21,0,1,1
1000:cff4,FUN_1000_cff4,73,1,9,1
1000:d03e,FUN_1000_d03e,7,0,6,1
1000:d046,FUN_1000_d046,7,0,8,1
1000:d04e,FUN_1000_d04e,673,6,1,1
1000:d2f8,FUN_1000_d2f8,328,3,1,1
1000:d442,FUN_1000_d442,37,0,1,1
1000:d468,FUN_1000_d468,37,0,4,1
1000:d48e,FUN_1000_d48e,38,0,1,1
1000:d4b4,FUN_1000_d4b4,61,0,3,1
1000:d4f2,FUN_1000_d4f2,663,0,3,1
1000:d7ac,FUN_1000_d7ac,23,1,1,1
1000:d7c4,FUN_1000_d7c4,26,1,1,1
1000:d7de,FUN_1000_d7de,60,3,1,1
1000:d884,FUN_1000_d884,15,0,1,1
1000:d8dc,FUN_1000_d8dc,432,3,0,1
1000:da92,FUN_1000_da92,95,1,0,1
1000:daf2,FUN_1000_daf2,63,1,1,1
1000:db32,FUN_1000_db32,127,2,1,1
1000:dbb2,FUN_1000_dbb2,600,6,1,1
1000:de0c,FUN_1000_de0c,184,0,1,1
1000:dec4,FUN_1000_dec4,39,1,1,1
1000:deeb,FUN_1000_deeb,11,0,1,1
1000:def6,FUN_1000_def6,605,0,1,1
1000:e156,FUN_1000_e156,43,2,1,1
1000:e182,FUN_1000_e182,43,1,1,1
1000:e1ae,FUN_1000_e1ae,64,1,1,1
1000:e1ee,FUN_1000_e1ee,57,2,4,1
1000:e228,FUN_1000_e228,61,1,5,1
1000:e266,FUN_1000_e266,82,1,2,1
1000:e2b8,FUN_1000_e2b8,54,1,1,1
1000:e2ee,FUN_1000_e2ee,64,1,1,1
1000:e32e,FUN_1000_e32e,68,1,1,1
1000:e374,FUN_1000_e374,83,1,1,1
1000:e3c8,FUN_1000_e3c8,368,2,8,1
1000:e538,FUN_1000_e538,212,0,5,1
1000:e60c,FUN_1000_e60c,31,0,2,1
1000:e62c,FUN_1000_e62c,29,0,1,1
1000:e64a,entry,184,7,0,1
1000:e712,FUN_1000_e712,33,2,2,1
1000:e734,FUN_1000_e734,206,3,1,1
1000:e802,FUN_1000_e802,103,4,3,1
1000:e883,FUN_1000_e883,45,0,1,1
1000:e8b0,FUN_1000_e8b0,15,0,2,1
1000:e8bf,FUN_1000_e8bf,19,0,2,1
1000:e8d2,FUN_1000_e8d2,32,1,5,1
1000:e8f2,FUN_1000_e8f2,122,1,1,1
1000:e986,FUN_1000_e986,401,2,2,1
1000:eb17,FUN_1000_eb17,17,0,1,1
1000:eb28,FUN_1000_eb28,233,1,2,1
1000:ec12,FUN_1000_ec12,177,6,2,1
1000:ecc3,FUN_1000_ecc3,74,0,1,1
1000:ed0d,FUN_1000_ed0d,14,1,1,1
1000:ed1b,FUN_1000_ed1b,52,1,1,1
1000:ed50,thunk_FUN_1000_f457,3,0,1,1
1000:ed54,thunk_FUN_1000_f436,3,0,1,1
1000:ed58,FUN_1000_ed58,19,0,1,1
1000:ed6b,FUN_1000_ed6b,125,3,2,1
1000:ede8,FUN_1000_ede8,58,0,2,1
1000:ee22,thunk_FUN_1000_f63e,3,0,2,1
1000:ee26,thunk_FUN_1000_f63e,3,0,2,1
1000:ee2a,FUN_1000_ee2a,27,1,4,1
1000:ee72,FUN_1000_ee72,34,1,5,1
1000:ee94,FUN_1000_ee94,30,0,2,1
1000:eeb2,FUN_1000_eeb2,103,3,1,1
1000:ef1a,FUN_1000_ef1a,81,1,2,1
1000:ef6c,FUN_1000_ef6c,43,0,1,1
1000:ef98,FUN_1000_ef98,30,0,1,1
1000:efb6,FUN_1000_efb6,17,0,1,1
1000:efc8,FUN_1000_efc8,38,1,9,1
1000:efee,FUN_1000_efee,18,0,1,1
1000:f000,FUN_1000_f000,21,0,2,1
1000:f016,FUN_1000_f016,154,0,2,1
1000:f0b0,FUN_1000_f0b0,50,0,5,1
1000:f0e2,FUN_1000_f0e2,95,0,2,1
1000:f142,FUN_1000_f142,32,1,3,1
1000:f162,FUN_1000_f162,6,1,1,1
1000:f168,FUN_1000_f168,23,1,1,1
1000:f180,FUN_1000_f180,34,2,1,1
1000:f1a2,FUN_1000_f1a2,459,0,1,1
1000:f36e,FUN_1000_f36e,43,0,1,1
1000:f399,FUN_1000_f399,53,1,4,1
1000:f3ce,FUN_1000_f3ce,8,0,1,1
1000:f3e3,FUN_1000_f3e3,13,1,6,1
